Team,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,
1,1386,1472,1494,1399,1456,1429,1482,1464,1505,,,
4,1291,1293,1413,1384,1391,1405,1361,1403,1454,,,
5,1282,0,0,0,0,0,0,0,0,,,
7,1345,1383,1421,1423,1388,0,0,0,0,,,
8,1325,1380,1426,1423,1402,1401,1377,1398,1405,,,
9,1375,0,0,0,0,0,0,0,0,,,
11,1393,1425,1425,1530,1511,1711,1586,1555,1531,,,
16,1470,1589,1650,1736,1733,1570,1741,1738,1738,,,
20,1497,1607,1527,1515,1431,1665,1658,1517,1551,,,
21,1369,1353,1347,1457,1448,1463,1480,1460,1537,,,
23,,,,,1384,1402,0,0,0,,,
25,1524,1606,1784,1697,1700,1555,1523,1552,1650,,,
27,1493,1563,1622,1635,1578,1586,1778,1632,1634,,,
28,1329,1401,1431,1481,1490,1576,1581,1499,1458,,,
31,1330,1351,1411,1399,1415,1362,1344,1385,1357,,,
33,1458,1451,1702,1812,1669,1801,1745,1784,1718,,,
34,1391,1473,1506,1485,1469,1438,1405,1447,1478,,,
39,1566,1569,1477,0,0,0,0,0,0,,,
40,1534,1628,1511,1635,0,0,0,0,0,,,
41,1451,1423,1377,1415,1395,1296,1316,1361,1550,,,
42,1326,0,0,0,0,0,0,0,0,,,
45,1422,1636,1569,1464,1441,1424,1502,1439,1501,,,
46,,1309,0,0,0,0,0,0,0,,,
47,1430,1459,0,0,0,0,0,0,0,,,
48,1419,1413,1344,1574,1669,1621,1550,1628,1605,,,
49,1300,1362,1379,0,0,0,0,0,0,,,
51,,,1480,1593,1597,1604,1669,1533,1491,,,
53,1362,1403,1380,1370,1383,1392,1441,1446,1351,,,
56,1374,1485,1532,1535,1557,1554,1587,1625,1587,,,
57,1392,1488,1436,1432,1470,1545,1479,1507,1491,,,
58,1411,1431,1410,1468,1558,1494,1549,1565,1453,,,
59,1338,1321,0,0,1351,1399,1391,1440,1451,,,
60,1408,1485,1446,1450,1468,1498,1498,1673,1565,,,
61,1414,1554,1446,1391,1483,1535,1554,1573,0,,,
63,1282,1302,1458,1563,1506,1412,1425,1421,1438,,,
65,1356,1397,0,0,0,0,0,0,0,,,
66,1415,1433,1460,1498,1361,1408,1516,1583,1498,,,
67,1594,1793,1840,1751,1842,1808,1824,1750,1669,,,
68,1376,1505,1400,1454,1534,1577,1579,1642,1525,,,
69,1447,1580,1546,1535,1535,1528,1475,1414,1445,,,
70,1415,1448,1531,1550,1551,1598,1651,1635,1563,,,
71,1444,1672,1671,1736,1642,1580,1576,1614,1575,,,
73,1266,1263,1237,1274,1361,1372,1330,1407,1375,,,
